serial,lat,lon,temp
OC3CL200014,37.563574 ,126.984504 ,25.193445 
OC3CL200020,37.501274 ,127.026377 ,24.421888 
OC3CL200022,37.503092 ,127.049876 ,25.042576 
OC3CL200023,37.503597 ,127.051592 ,24.426764 
OC3CL200025,37.560034 ,126.825876 ,24.227036 
OC3CL200027,37.559042 ,126.836083 ,24.003952 
OC3CL200034,37.525918 ,126.863558 ,24.016696 
OC3CL200035,37.611304 ,126.917502 ,24.255011 
OC3CL200040,37.577740 ,127.008033 ,24.313174 
OC3CL200046,37.560536 ,126.854707 ,24.502140 
OC3CL200048,37.653560 ,127.046220 ,24.675523 
OC3CL200051,37.649350 ,127.034864 ,25.438003 
OC3CL200052,37.666214 ,127.046469 ,24.893956 
OC3CL200055,37.500892 ,127.000870 ,24.613957 
OC3CL200057,37.474683 ,126.887406 ,25.151176 
OC3CL200058,37.532460 ,126.885754 ,24.582335 
OC3CL200059,37.539117 ,126.824032 ,24.110337 
OC3CL200063,37.661134 ,127.036395 ,24.357503 
OC3CL200067,37.548033 ,126.860633 ,23.812784 
OC3CL200070,37.527203 ,127.121662 ,24.357810 
OC3CL200071,37.559413 ,127.170817 ,25.019149 
OC3CL200074,37.546268 ,127.143018 ,24.981028 
OC3CL200077,37.506233 ,127.004229 ,25.455383 
OC3CL200078,37.497938 ,127.026814 ,24.523545 
OC3CL200079,37.485732 ,126.983396 ,24.366424 
OC3CL200081,37.545147 ,127.127551 ,24.692634 
OC3CL200084,37.545890 ,127.123710 ,25.032071 
OC3CL200085,37.502057 ,127.015434 ,24.626203 
OC3CL200087,37.555469 ,126.826613 ,23.972381 
OC3CL200090,37.528714 ,127.137389 ,25.223786 
OC3CL200093,37.538220 ,127.134581 ,25.058342 
OC3CL200095,37.536623 ,127.146470 ,24.901082 
OC3CL200097,37.542374 ,127.143741 ,24.905344 
OC3CL200098,37.549620 ,127.157931 ,24.551831 
OC3CL200099,37.530624 ,127.128407 ,24.870714 
OC3CL200102,37.547423 ,127.131228 ,25.343541 
OC3CL200103,37.540494 ,127.148207 ,24.773803 
OC3CL200104,37.640617 ,127.021637 ,25.460800 
OC3CL200105,37.547712 ,127.172682 ,25.189267 
OC3CL200106,37.533122 ,127.132393 ,25.437298 
OC3CL200108,37.560626 ,127.157431 ,25.091462 
OC3CL200110,37.554657 ,127.132859 ,24.659524 
OC3CL200112,37.505898 ,126.864220 ,23.855603 
OC3CL200114,37.547991 ,127.126142 ,24.388081 
OC3CL200116,37.496229 ,126.938565 ,23.727924 
OC3CL200120,37.490111 ,126.909734 ,23.772304 
OC3CL200125,37.663694 ,127.048621 ,24.819738 
OC3CL200127,37.560277 ,126.975354 ,24.063210 
OC3CL200134,37.637366 ,127.029153 ,25.417944 
OC3CL200135,37.501825 ,127.070862 ,24.382368 
OC3CL200137,37.660800 ,127.050756 ,24.281440 
OC3CL200139,37.514187 ,126.876717 ,24.510419 
OC3CL200141,37.488661 ,127.106716 ,24.634611 
OC3CL200144,37.616494 ,127.059657 ,24.979168 
OC3CL200145,37.633301 ,127.039387 ,24.309575 
OC3CL200157,37.492381 ,127.094589 ,24.499633 
OC3CL200158,37.519394 ,127.139318 ,24.478650 
OC3CL200160,37.653349 ,127.060633 ,24.770835 
OC3CL200164,37.560589 ,127.069727 ,24.670679 
OC3CL200166,37.513225 ,126.867697 ,24.491262 
OC3CL200170,37.512567 ,127.031245 ,25.547451 
OC3CL200171,37.558699 ,127.144334 ,24.585416 
OC3CL200172,37.532735 ,126.846311 ,24.515611 
OC3CL200174,37.488974 ,126.906033 ,24.820774 
OC3CL200180,37.564215 ,126.833869 ,24.042520 
OC3CL200183,37.553510 ,126.871121 ,24.841846 
OC3CL200193,37.484823 ,126.901431 ,24.202306 
OC3CL200194,37.569976 ,126.975517 ,24.143823 
OC3CL200195,37.604876 ,127.070803 ,24.464811 
OC3CL200197,37.581090 ,127.045074 ,24.716204 
OC3CL200198,37.603633 ,127.039836 ,24.513614 
OC3CL200201,37.570869 ,127.004845 ,24.516307 
OC3CL200202,37.594270 ,127.074112 ,24.335100 
OC3CL200204,37.614147 ,126.910160 ,24.297332 
OC3CL200207,37.494958 ,127.124195 ,24.895666 
OC3CL200208,37.479816 ,127.135315 ,24.497614 
OC3CL200211,37.569214 ,126.982129 ,24.913849 
OC3CL200216,37.548842 ,127.060406 ,24.985601 
OC3CL200219,37.572221 ,127.013517 ,24.768241 
OC3CL200220,37.576982 ,127.002489 ,24.367648 
OC3CL200227,37.561246 ,127.039497 ,25.324792 
V02Q1940043,37.490029 ,126.883554 ,25.490289 
V02Q1940046,37.494403 ,126.831472 ,24.894071 
V02Q1940049,37.576690 ,127.036277 ,25.743380 
V02Q1940050,37.499542 ,126.850773 ,24.795847 
V02Q1940051,37.484557 ,126.853710 ,24.787975 
V02Q1940052,37.487181 ,126.889626 ,26.201967 
V02Q1940053,37.565041 ,126.978886 ,24.821190 
V02Q1940054,37.490491 ,126.855378 ,24.726945 
V02Q1940056,37.487430 ,126.838527 ,24.560936 
V02Q1940058,37.579775 ,127.062025 ,24.990727 
V02Q1940060,37.483397 ,127.086234 ,24.796325 
V02Q1940061,37.505280 ,126.874622 ,24.627951 
V02Q1940062,37.548824 ,126.843476 ,24.309721 
V02Q1940064,37.611079 ,127.055517 ,25.547273 
V02Q1940065,37.505683 ,126.858610 ,24.934682 
V02Q1940066,37.567219 ,126.847517 ,25.145410 
V02Q1940068,37.491337 ,126.992331 ,25.565072 
V02Q1940069,37.549805 ,126.870225 ,25.107475 
V02Q1940070,37.486833 ,126.823712 ,24.093323 
V02Q1940072,37.551836 ,126.845861 ,24.516702 
V02Q1940073,37.493826 ,126.884077 ,25.365448 
V02Q1940075,37.667384 ,127.053457 ,24.969421 
V02Q1940076,37.622024 ,127.077481 ,25.727239 
V02Q1940077,37.490952 ,126.896561 ,24.844896 
V02Q1940079,37.494102 ,127.082209 ,25.665917 
V02Q1940081,37.571324 ,127.051003 ,25.641846 
V02Q1940082,37.495508 ,127.085749 ,25.052687 
V02Q1940084,37.578375 ,127.062435 ,24.899046 
V02Q1940085,37.568336 ,127.065889 ,26.244389 
V02Q1940086,37.497754 ,126.863311 ,24.678801 
V02Q1940089,37.591920 ,127.054625 ,25.232421 
V02Q1940091,37.656045 ,127.043719 ,25.181439 
V02Q1940092,37.571141 ,127.064522 ,24.889321 
V02Q1940094,37.466829 ,127.108893 ,24.840858 
V02Q1940095,37.532916 ,126.868391 ,25.435414 
V02Q1940096,37.562988 ,127.059587 ,25.589967 
V02Q1940098,37.486765 ,127.101858 ,24.585982 
V02Q1940100,37.494979 ,127.093144 ,25.155793 
V02Q1940101,37.573357 ,127.032540 ,25.789517 
V02Q1940104,37.555156 ,126.858558 ,25.054948 
V02Q1940105,37.572876 ,126.815190 ,24.972283 
V02Q1940106,37.577581 ,127.047194 ,25.605528 
V02Q1940107,37.620774 ,127.012353 ,24.581178 
V02Q1940108,37.603444 ,127.065532 ,24.908579 
V02Q1940109,37.590780 ,127.067112 ,25.261371 
V02Q1940111,37.509299 ,126.878380 ,26.181894 
V02Q1940112,37.556505 ,127.071194 ,25.638958 
V02Q1940113,37.554504 ,126.874175 ,25.102572 
V02Q1940114,37.569297 ,126.842733 ,25.264754 
V02Q1940115,37.598043 ,127.065557 ,25.295872 
V02Q1940117,37.508537 ,127.087142 ,25.344847 
V02Q1940118,37.582389 ,127.031492 ,25.679588 
V02Q1940120,37.579466 ,127.072446 ,25.495391 
V02Q1940121,37.496950 ,126.897717 ,24.790154 
V02Q1940122,37.585716 ,127.047912 ,25.903812 
V02Q1940123,37.494899 ,127.061843 ,24.959468 
V02Q1940126,37.578362 ,126.815909 ,24.962716 
V02Q1940127,37.536201 ,126.901222 ,25.256819 
V02Q1940131,37.594485 ,127.021196 ,25.235281 
V02Q1940132,37.640104 ,127.072986 ,24.998399 
V02Q1940133,37.536856 ,126.894850 ,25.236996 
V02Q1940134,37.555798 ,127.075820 ,25.651061 
V02Q1940136,37.489467 ,126.884839 ,25.021218 
V02Q1940137,37.627319 ,127.027151 ,24.794001 
V02Q1940138,37.557637 ,126.939254 ,25.546496 
V02Q1940140,37.502485 ,126.851041 ,24.781800 
V02Q1940141,37.497606 ,127.001384 ,24.871269 
V02Q1940142,37.550545 ,127.127873 ,25.905956 
V02Q1940143,37.605853 ,127.049738 ,25.240133 
V02Q1940144,37.482556 ,126.994604 ,25.590013 
V02Q1940145,37.514024 ,127.021681 ,25.090550 
V02Q1940146,37.662543 ,127.069311 ,25.353908 
V02Q1940147,37.613087 ,127.061715 ,25.344469 
V02Q1940148,37.499990 ,126.987037 ,25.210765 
V02Q1940149,37.485061 ,127.044068 ,25.281735 
V02Q1940150,37.644167 ,127.060687 ,24.878241 
V02Q1940151,37.679160 ,127.052083 ,25.050069 
V02Q1940152,37.506540 ,127.045728 ,25.358730 
V02Q1940154,37.642159 ,127.069870 ,25.278016 
V02Q1940156,37.566675 ,127.045522 ,26.038819 
V02Q1940158,37.502806 ,126.990497 ,25.251590 
V02Q1940159,37.597691 ,127.072823 ,25.226857 
V02Q1940161,37.526343 ,127.037461 ,25.494804 
V02Q1940162,37.530599 ,126.840569 ,25.704454 
V02Q1940163,37.559388 ,126.809856 ,24.428680 
V02Q1940164,37.488587 ,127.067988 ,25.282980 
V02Q1940166,37.557852 ,126.849018 ,24.757511 
V02Q1940167,37.544820 ,126.835844 ,25.245497 
V02Q1940168,37.514939 ,126.896988 ,24.355343 
V02Q1940169,37.496513 ,126.906686 ,25.052603 
V02Q1940170,37.521738 ,126.896683 ,25.439527 
V02Q1940171,37.524130 ,126.898605 ,24.488587 
V02Q1940172,37.574033 ,127.089326 ,24.002547 
V02Q1940173,37.534010 ,126.861067 ,25.483134 
V02Q1940174,37.524165 ,126.887082 ,25.441873 
V02Q1940175,37.527788 ,127.046799 ,25.182736 
V02Q1940176,37.506180 ,126.921438 ,24.973485 
V02Q1940177,37.502278 ,127.053965 ,25.477962 
V02Q1940178,37.521053 ,127.019456 ,25.108023 
V02Q1940179,37.543867 ,126.847620 ,25.630227 
V02Q1940181,37.527577 ,126.843082 ,24.636876 
V02Q1940182,37.532379 ,126.855337 ,25.553814 
V02Q1940183,37.647743 ,127.081123 ,24.568540 
V02Q1940184,37.514198 ,126.909457 ,25.343431 
V02Q1940185,37.509660 ,126.896172 ,25.028836 
V02Q1940187,37.552958 ,126.851360 ,25.219410 
V02Q1940190,37.496531 ,126.982417 ,24.973092 
V02Q1940191,37.585408 ,127.079021 ,25.365962 
V02Q1940192,37.522243 ,127.053452 ,24.890385 
V02Q1940194,37.482802 ,126.979531 ,25.694824 
V02Q1940195,37.578673 ,127.086324 ,25.314184 
V02Q1940196,37.509892 ,126.920534 ,24.988919 
V02Q1940197,37.507059 ,126.907092 ,25.371911 
V02Q1940198,37.500013 ,126.910808 ,25.269487 
V02Q1940199,37.520309 ,126.910441 ,25.207175 
V02Q1940201,37.483265 ,127.013087 ,25.539812 
V02Q1940202,37.560119 ,127.079538 ,25.797663 
V02Q1940203,37.669322 ,127.032316 ,24.786660 
V02Q1940204,37.546696 ,127.072037 ,25.291752 
V02Q1940205,37.659466 ,127.037995 ,25.691402 
V02Q1940206,37.609442 ,127.034101 ,25.897003 
V02Q1940207,37.617077 ,127.015273 ,23.934692 
V02Q1940209,37.559025 ,127.090121 ,26.016477 
V02Q1940210,37.660884 ,127.078859 ,24.387024 
V02Q1940215,37.626998 ,127.079123 ,25.022614 
V02Q1940216,37.651979 ,127.064044 ,25.131737 
V02Q1940217,37.513527 ,126.925917 ,25.738449 
V02Q1940218,37.609849 ,127.076301 ,25.565378 
V02Q1940221,37.518912 ,126.907705 ,25.299699 
V02Q1940222,37.518286 ,126.910565 ,24.882725 
V02Q1940224,37.498641 ,127.036338 ,24.706209 
V02Q1940225,37.585977 ,127.088383 ,25.386845 
V02Q1940226,37.615449 ,127.064609 ,25.249182 
V02Q1940231,37.592680 ,127.074778 ,25.107463 
V02Q1940233,37.613554 ,127.081496 ,24.639658 
V02Q1940235,37.612547 ,127.073415 ,25.425371 
V02Q1940237,37.605088 ,127.099719 ,24.440319 
V02Q1940238,37.664754 ,127.063366 ,24.731159 
V02Q1940239,37.493447 ,127.056961 ,25.082374 
V02Q1940240,37.532061 ,126.831722 ,24.801285 
V02Q1940241,37.599989 ,127.087073 ,25.739210 
V02Q1940243,37.593353 ,127.080976 ,25.151214 
V02Q1940244,37.532727 ,126.893332 ,25.359332 
V02Q1940245,37.673724 ,127.050597 ,25.010255 
V02Q1940246,37.499371 ,127.072725 ,24.362530 
V02Q1940248,37.601151 ,127.100798 ,25.235566 
V02Q1940249,37.480958 ,127.000330 ,24.849796 
V02Q1940250,37.589051 ,127.080892 ,25.486921 
V02Q1940251,37.522666 ,126.882915 ,25.174232 
V02Q1940252,37.575819 ,127.086148 ,25.720445 
V02Q1940254,37.605954 ,127.094129 ,24.585531 
V02Q1940255,37.593353 ,127.080976 ,25.864422 
V02Q1940256,37.543688 ,126.887738 ,25.448081 
V02Q1940257,37.639564 ,127.060567 ,25.555018 
V02Q1940258,37.562998 ,127.028435 ,25.166925 
V02Q1940259,37.533928 ,126.863793 ,25.226985 
V02Q1940260,37.464853 ,126.939899 ,23.919176 
V02Q1940262,37.483428 ,126.949461 ,25.521839 
V02Q1940263,37.560874 ,127.062747 ,25.447026 
V02Q1940264,37.671181 ,127.045155 ,25.838582 
V02Q1940265,37.639568 ,127.035019 ,25.301528 
V02Q1940266,37.625101 ,127.073488 ,25.869082 
V02Q1940268,37.506611 ,126.992440 ,25.233069 
V02Q1940270,37.547287 ,127.046740 ,26.103939 
V02Q1940271,37.564778 ,127.178040 ,25.532787 
V02Q1940272,37.478840 ,126.961245 ,25.085275 
V02Q1940273,37.517512 ,127.037134 ,25.838923 
V02Q1940275,37.682424 ,127.052678 ,24.145481 
V02Q1940276,37.585538 ,127.023509 ,25.936836 
V02Q1940277,37.591144 ,127.094227 ,25.047481 
V02Q1940278,37.512401 ,126.942547 ,25.385292 
V02Q1940280,37.561976 ,127.085033 ,25.745032 
V02Q1940281,37.661092 ,127.059044 ,25.036814 
V02Q1940282,37.512491 ,127.005876 ,25.537147 
V02Q1940283,37.580602 ,127.023030 ,25.423479 
V02Q1940284,37.589684 ,127.012920 ,25.769832 
V02Q1940285,37.554722 ,126.910363 ,25.595312 
V02Q1940286,37.562166 ,127.026682 ,25.022935 
V02Q1940287,37.531393 ,126.830075 ,24.816182 
V02Q1940288,37.543957 ,126.934121 ,25.417664 
V02Q1940289,37.487500 ,126.968238 ,24.681235 
V02Q1940290,37.620542 ,127.062463 ,25.436567 
V02Q1940291,37.621315 ,127.069509 ,24.667058 
V02Q1940292,37.490848 ,126.981944 ,25.407288 
V02Q1940293,37.476401 ,127.048489 ,25.826434 
V02Q1940294,37.548161 ,127.089683 ,26.245308 
V02Q1940295,37.508713 ,126.925168 ,25.133174 
V02Q1940296,37.511970 ,126.926302 ,25.582840 
V02Q1940297,37.492956 ,126.975760 ,24.289830 
V02Q1940299,37.621128 ,127.083296 ,25.358456 
V02Q1940300,37.643785 ,127.019452 ,25.203367 
V02Q1940301,37.489118 ,126.980570 ,25.572252 
V02Q1940303,37.689232 ,127.046735 ,24.917987 
V02Q1940304,37.504073 ,126.951826 ,25.167116 
V02Q1940306,37.542449 ,127.125705 ,25.614799 
V02Q1940307,37.585377 ,127.095453 ,24.963781 
V02Q1940308,37.494126 ,126.986854 ,25.352964 
V02Q1940309,37.493739 ,127.042374 ,25.623707 
V02Q1940310,37.479849 ,126.985402 ,25.389174 
V02Q1940312,37.522821 ,126.858435 ,25.639675 
V02Q1940313,37.485536 ,127.087427 ,24.705755 
V02Q1940314,37.618561 ,127.022804 ,24.832142 
V02Q1940315,37.483916 ,127.057597 ,24.647662 
V02Q1940316,37.504794 ,126.940783 ,25.411230 
V02Q1940319,37.501193 ,126.936961 ,26.005092 
V02Q1940320,37.649768 ,127.019891 ,25.068846 
V02Q1940321,37.549468 ,127.146339 ,25.739795 
V02Q1940322,37.599172 ,127.036027 ,25.919883 
V02Q1940323,37.649252 ,127.046112 ,24.738066 
V02Q1940324,37.651536 ,127.030632 ,25.140256 
V02Q1940327,37.542257 ,127.085114 ,26.133916 
V02Q1940328,37.603348 ,127.029376 ,25.424882 
V02Q1940330,37.627788 ,127.019351 ,25.594197 
V02Q1940334,37.665639 ,127.040069 ,25.560542 
V02Q1940335,37.607742 ,127.041340 ,24.684793 
V02Q1940337,37.598908 ,126.920309 ,24.653175 
V02Q1940340,37.625555 ,127.027215 ,25.178028 
V02Q1940342,37.648071 ,127.029080 ,25.390044 
V02Q1940344,37.605800 ,127.025556 ,25.241612 
V02Q1940346,37.534383 ,126.837997 ,25.019448 
V02Q1940349,37.539768 ,127.129658 ,25.781555 
V02Q1940350,37.554811 ,127.150186 ,25.749767 
V02Q1940351,37.591054 ,127.003007 ,25.357259 
V02Q1940355,37.560743 ,127.164289 ,24.949347 
V02Q1940356,37.504549 ,126.967418 ,25.404948 
V02Q1940357,37.503766 ,126.960958 ,25.199730 
V02Q1940359,37.546517 ,127.147310 ,25.148270 
V02Q1940360,37.556847 ,127.151357 ,24.969832 
V02Q1940363,37.581375 ,126.934327 ,25.074903 
V02Q1940364,37.516646 ,126.862865 ,24.900356 
V02Q1940367,37.554395 ,127.020100 ,26.155002 
V02Q1940369,37.474323 ,126.902420 ,25.306658 
V02Q1940371,37.546678 ,127.103454 ,25.521857 
V02Q1940372,37.554067 ,127.127813 ,25.719478 
V02Q1940373,37.589939 ,126.917292 ,25.524562 
V02Q1940375,37.491713 ,126.924826 ,24.515652 
V02Q1940376,37.545305 ,127.136675 ,25.607507 
V02Q1940377,37.594837 ,126.924549 ,24.087712 
V02Q1940378,37.631156 ,127.016796 ,24.521623 
V02Q1940379,37.614202 ,127.043666 ,25.485869 
V02Q1940380,37.471605 ,127.040944 ,25.547772 
V02Q1940381,37.601609 ,127.016721 ,25.012058 
V02Q1940382,37.482066 ,126.969679 ,24.840987 
V02Q1940383,37.533286 ,127.065648 ,25.139467 
V02Q1940385,37.577810 ,126.905286 ,25.081859 
V02Q1940386,37.615898 ,127.034160 ,25.568315 
V02Q1940387,37.540054 ,127.070979 ,25.820662 
V02Q1940389,37.497742 ,126.923830 ,25.077172 
V02Q1940391,37.528617 ,127.085121 ,25.111368 
V02Q1940392,37.538287 ,127.092397 ,26.152534 
V02Q1940393,37.533488 ,127.073006 ,26.281980 
V02Q1940394,37.632133 ,127.038099 ,24.877976 
V02Q1940395,37.538911 ,126.829309 ,25.381378 
V02Q1940396,37.488748 ,127.006793 ,25.432515 
V02Q1940399,37.491391 ,127.012740 ,25.476967 
V02Q1940400,37.489274 ,127.017887 ,24.866978 
V02Q1940401,37.613204 ,127.007460 ,25.139790 
V02Q1940402,37.491309 ,127.026805 ,25.342261 
V02Q1940403,37.534309 ,127.081986 ,25.682357 
V02Q1940404,37.653207 ,127.052329 ,25.563878 
V02Q1940405,37.468578 ,126.892576 ,25.674223 
V02Q1940406,37.609393 ,127.004355 ,25.468873 
